File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
6da17f3f-d4ee-4ace-a6f7-702454c8f0e9	b9ab7393-4abb-41ec-9d55-a3dc846c4a93.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-7926	TCGA-HZ-7926-01A	Primary Tumor
fdf73b53-a45b-4f06-8418-19896fc3d076	aec2e0c7-4792-41af-873c-3f3a53ec6d38.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-8001	TCGA-HZ-8001-01A	Primary Tumor
7e374f79-6f9b-4034-b4cb-d71b7404682a	4172e3f8-3578-4f33-9168-6f8c2b8d0783.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3E-AAAZ	TCGA-3E-AAAZ-01A	Primary Tumor
30a0d8dd-ba66-41d0-9a32-24de4e1a28c7	cdaedb53-612c-4e7a-8ffe-348944b94e0c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-LB-A7SX	TCGA-LB-A7SX-01A	Primary Tumor
7fa837c1-9fb9-4c4d-ac22-4bd3a058acf3	5aed2227-1f31-4159-9eed-430bc45c61dc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2L-AAQM	TCGA-2L-AAQM-01A	Primary Tumor
4d4602d2-35bf-492b-8c6a-b3b840ca2270	a2a33be8-232b-44bf-a003-349017a5bc5a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-RB-A7B8	TCGA-RB-A7B8-01A	Primary Tumor
a9ffc7da-982c-4ac6-8b02-cee561fc8614	0726996d-62f2-4880-808c-cfe3361b4b42.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HV-A5A4	TCGA-HV-A5A4-01A	Primary Tumor
c58c0cac-b900-413a-8c46-75dac5954a92	c3a3b1ec-1d61-4afd-bf06-3a036894bf39.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7889	TCGA-IB-7889-01A	Primary Tumor
352239e3-9451-44c9-b20a-658c55fc6d68	6423474d-60d7-4401-8e5b-46a3fbde5299.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2J-AABV	TCGA-2J-AABV-01A	Primary Tumor
22541a34-1fcb-44fb-9d95-bff4645da6ef	4764acbb-d535-4ec1-8aa4-df1512a754c2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7654	TCGA-IB-7654-01A	Primary Tumor
6417fd7d-530d-49bd-90d0-7000cb6f8af8	6cfd5f67-1006-48e5-a406-63b7d7ed9828.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3A-A9I9	TCGA-3A-A9I9-01A	Primary Tumor
cbbe7734-9015-492a-99af-1d5b86ebb078	4c60111d-2526-41be-8d31-a6afae1593c5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-A5ST	TCGA-IB-A5ST-01A	Primary Tumor
f5687b6b-500a-48a1-b972-1f1f0088f8ba	5909c211-0671-46f2-9159-62020a2b6cf8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2J-AABF	TCGA-2J-AABF-01A	Primary Tumor
c107a66f-56fe-4eb2-95a6-7af6c2ff3628	fcd43085-7338-43fe-bc25-9d87b04e227f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-8315	TCGA-HZ-8315-01A	Primary Tumor
2f78facc-02b6-4eb8-841e-ad76ccaa7d2e	b4ce6dd3-35a8-4261-b4d2-a2ab39957593.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-8002	TCGA-HZ-8002-01A	Primary Tumor
eb4e6bd3-ea3c-4e92-aa27-a1b2d95c1aeb	dbcad16f-6837-4825-af8d-c60cfbcefe1a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-HZ-A77P	TCGA-HZ-A77P-01A	Primary Tumor
167aef29-9e90-4bd1-ab3c-49bdb9866939	8a799dfa-c1b5-4b13-9c91-6cbfe2abbc9f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-8127	TCGA-IB-8127-01A	Primary Tumor
e2567946-b4e5-408a-950b-3bb6c130b2a1	caf9cab4-f98f-46bd-a75d-0eb1e9c6c9ea.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2J-AAB1	TCGA-2J-AAB1-01A	Primary Tumor
a8256ba2-611a-4b6e-9db4-cdd0490e647b	2eaa996b-267f-4c9c-a58e-d1759c27c46c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3A-A9IH	TCGA-3A-A9IH-01A	Primary Tumor
d257277b-072f-4b6c-bead-07332de2a533	49895f4a-72ac-4d5e-ba56-8c8bb5de4758.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUS	TCGA-IB-AAUS-01A	Primary Tumor
b5db657f-2eaf-4e0e-b4f9-f5f386aea040	c1f4dcd4-26b5-4b90-9564-44e03242e8e2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3E-AAAY	TCGA-3E-AAAY-01A	Primary Tumor
f111e198-e0af-458f-bf5c-79ce45963d44	01f84c45-2058-4e22-b234-52f0a82a97fc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2J-AABH	TCGA-2J-AABH-01A	Primary Tumor
a70a68fc-0953-4eb7-8c0c-f8f198947bcc	c4cadcbb-ae87-43a5-811c-6bedda1d1d8d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2J-AABA	TCGA-2J-AABA-01A	Primary Tumor
2ef4ced3-2a04-4434-b5ab-4c8a5edfff30	0c3dee5c-b102-4cc2-85d5-4c0e8f860c86.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-XD-AAUL	TCGA-XD-AAUL-01A	Primary Tumor
07119960-1ac2-48b2-993c-616b0f15eab0	cde0617f-fcd6-4c58-b3cf-dcfabc6fcda7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-7886	TCGA-IB-7886-01A	Primary Tumor
