"";"mrmrRanking";"rfRanking";"daRanking"
"1";"KRT80";"BEST4";"CD79B"
"2";"AC108134.3";"OTOP2";"BTK"
"3";"MAFG-DT";"GTF2IRD1";"BRCA1"
"4";"GLP2R";"SCARA5";"FAS"
"5";"TRIB3";"ETV4";"ROS1"
"6";"HECW2";"CDH3";"POLQ"
"7";"BEST4";"PVT1";"FGFR2"
"8";"SLC39A10";"GNA11";"ATP2B3"
"9";"MMP8";"KRT80";"CBFB"
"10";"CDH3";"CA7";"FCGR2B"
"11";"CSE1L";"INHBA";"PTGS2"
"12";"SLC12A8";"FBLIM1";"RUNX1T1"
"13";"SCN9A";"ABCA8";"GNA11"
"14";"LARGE2";"LINC01550";"POLE2"
"15";"RUNX1";"CPNE7";"SALL4"
"16";"CPNE7";"IL6R";"CCNE1"
"17";"MUC2";"GFRA2";"MET"
"18";"ZSWIM4";"AJUBA";"IMPDH1"
"19";"ESM1";"GUCA2B";"EZH2"
"20";"GTF2IRD1";"ATP11A";"SFRP4"
